id,log_time,application,user_name,duration,access_count,role
1,2024-06-20 16:06:29,Code.exe,aswin,0,1,Developer
2,2024-06-20 16:06:55,chrome.exe,aswin,0.43,1,Developer
3,2024-06-20 16:06:57,explorer.exe,aswin,0.03,1,Developer
4,2024-06-20 16:06:58,Code.exe,aswin,0.02,2,Developer
5,2024-06-20 16:07:25,WhatsApp,aswin,0.45,1,Developer
6,2024-06-20 16:07:27,Code.exe,aswin,0.02,3,Developer
7,2024-06-20 16:07:30,chrome.exe,aswin,0.05,2,Developer
8,2024-06-20 16:07:31,Code.exe,aswin,0.02,4,Developer
9,2024-06-20 16:07:43,Microsoft Store,aswin,0.2,1,Developer
10,2024-06-20 16:07:46,explorer.exe,aswin,0.04,2,Developer
11,2024-06-20 16:07:53,Code.exe,aswin,0.12,5,Developer
12,2024-06-20 16:08:13,Code.exe,aswin,0,1,Developer
13,2024-06-20 16:08:17,chrome.exe,aswin,0.05,1,Developer
14,2024-06-20 16:08:18,Code.exe,aswin,0.02,2,Developer
15,2024-06-20 16:08:20,WhatsApp,aswin,0.04,1,Developer
16,2024-06-20 16:08:40,Code.exe,aswin,0.34,3,Developer
17,2024-06-20 16:08:49,StartMenuExperienceHost.exe,aswin,0.14,1,Developer
18,2024-06-20 16:08:50,Mail,aswin,0.03,1,Developer
19,2024-06-20 16:10:19,Code.exe,aswin,0,1,Developer
20,2024-06-20 16:10:23,olk.exe,aswin,0.06,1,Developer
21,2024-06-20 16:10:24,Code.exe,aswin,0.02,2,Developer
22,2024-06-20 16:10:37,Home,aswin,0.22,1,Developer
23,2024-06-20 16:10:41,VayuDrishti,aswin,0.06,1,Developer
24,2024-06-20 16:10:42,Desktop,aswin,0.02,1,Developer
25,2024-06-20 16:10:45,Code.exe,aswin,0.05,3,Developer
26,2024-06-20 16:11:03,File Explorer,aswin,0.29,1,Developer
27,2024-06-20 16:11:04,Home,aswin,0.03,2,Developer
28,2024-06-20 16:11:08,Code.exe,aswin,0.05,4,Developer
29,2024-06-20 16:11:12,Home,aswin,0.07,3,Developer
30,2024-06-20 16:11:15,Desktop,aswin,0.05,2,Developer
31,2024-06-20 16:11:16,Code.exe,aswin,0.02,5,Developer
32,2024-06-20 16:11:30,regedit.exe,aswin,0.24,1,Developer
33,2024-06-20 16:11:32,Code.exe,aswin,0.03,6,Developer
34,2024-06-20 16:11:54,mmc.exe,aswin,0.37,1,Developer
35,2024-06-20 16:11:59,Code.exe,aswin,0.09,7,Developer
36,2024-06-20 16:12:10,Wireshark.exe,aswin,0.17,1,Developer
37,2024-06-20 16:12:17,Code.exe,aswin,0.12,8,Developer
38,2024-06-20 16:12:53,WhatsApp,aswin,0.59,1,Developer
39,2024-06-20 16:13:07,Notepad.exe,aswin,0.24,1,Developer
40,2024-06-20 16:13:43,Code.exe,aswin,0.59,9,Developer
41,2024-06-20 16:14:00,Acrobat.exe,aswin,0.29,1,Developer
42,2024-06-20 16:14:02,Code.exe,aswin,0.03,10,Developer
43,2024-06-20 16:14:03,Acrobat.exe,aswin,0.02,2,Developer
44,2024-06-20 16:14:28,WINWORD.EXE,aswin,0.42,1,Developer
45,2024-06-20 16:14:38,Code.exe,aswin,0.16,11,Developer
46,2024-06-20 16:14:48,Postman.exe,aswin,0.16,1,Developer
47,2024-06-20 16:14:55,ShellExperienceHost.exe,aswin,0.12,1,Developer
48,2024-06-20 16:14:56,Code.exe,aswin,0.02,12,Developer
49,2024-06-20 16:15:07,Docker Desktop.exe,aswin,0.17,1,Developer
50,2024-06-20 16:15:13,Code.exe,aswin,0.1,13,Developer
51,2024-06-20 16:15:30,StartMenuExperienceHost.exe,aswin,0.29,1,Developer
52,2024-06-20 16:15:32,Calculator,aswin,0.02,1,Developer
53,2024-06-20 16:15:35,Code.exe,aswin,0.06,14,Developer
54,2024-06-20 16:15:58,Settings,aswin,0.39,1,Developer
55,2024-06-20 16:16:33,Code.exe,aswin,0.58,15,Developer
56,2024-06-20 16:16:38,Settings,aswin,0.08,2,Developer
57,2024-06-20 16:16:50,Code.exe,aswin,0.2,16,Developer
58,2024-06-20 16:17:06,WindowsTerminal.exe,aswin,0.26,1,Developer
59,2024-06-20 16:17:10,Code.exe,aswin,0.07,17,Developer
60,2024-06-20 16:17:13,Settings,aswin,0.06,3,Developer
61,2024-06-20 16:17:16,Code.exe,aswin,0.05,18,Developer
62,2024-06-20 16:17:21,Settings,aswin,0.07,4,Developer
63,2024-06-20 16:17:33,Code.exe,aswin,0.21,19,Developer
64,2024-06-20 16:17:41,Settings,aswin,0.14,5,Developer
65,2024-06-20 16:17:45,Code.exe,aswin,0.06,20,Developer
66,2024-06-20 16:17:52,Settings,aswin,0.12,6,Developer
67,2024-06-20 16:17:55,Code.exe,aswin,0.04,21,Developer
68,2024-06-20 16:18:04,Windows Defender Firewall,aswin,0.16,1,Developer
69,2024-06-20 16:18:06,Code.exe,aswin,0.03,22,Developer
70,2024-06-20 16:18:08,Windows Defender Firewall,aswin,0.04,2,Developer
71,2024-06-20 16:18:14,File Explorer,aswin,0.11,2,Developer
72,2024-06-20 16:18:16,Control Panel,aswin,0.03,1,Developer
73,2024-06-20 16:18:18,Network and Internet,aswin,0.04,1,Developer
74,2024-06-20 16:18:22,rundll32.exe,aswin,0.05,1,Developer
75,2024-06-20 16:18:23,Network and Internet,aswin,0.02,2,Developer
76,2024-06-20 16:18:25,Hardware and Sound,aswin,0.04,1,Developer
77,2024-06-20 16:18:27,Appearance and Personalization,aswin,0.02,1,Developer
78,2024-06-20 16:18:28,Hardware and Sound,aswin,0.02,2,Developer
79,2024-06-20 16:18:29,Network and Internet,aswin,0.03,3,Developer
80,2024-06-20 16:18:32,Hardware and Sound,aswin,0.04,3,Developer
81,2024-06-20 16:18:39,mmc.exe,aswin,0.12,2,Developer
82,2024-06-20 16:18:44,Hardware and Sound,aswin,0.08,4,Developer
83,2024-06-20 16:18:45,Code.exe,aswin,0.03,23,Developer
84,2024-06-20 16:19:01,WindowsTerminal.exe,aswin,0.26,2,Developer
85,2024-06-20 16:19:04,Code.exe,aswin,0.06,24,Developer
86,2024-06-20 16:19:17,PickerHost.exe,aswin,0.2,1,Developer
87,2024-06-20 16:19:30,StartMenuExperienceHost.exe,aswin,0.22,2,Developer
88,2024-06-20 16:19:32,EXCEL.EXE,aswin,0.03,1,Developer
89,2024-06-20 16:20:10,Code.exe,aswin,0.64,25,Developer
90,2024-06-20 16:20:20,Code.exe,aswin,0.16,26,Developer
91,2024-06-20 16:20:20,Calendar,aswin,0.16,1,Developer
92,2024-06-20 16:20:22,Code.exe,aswin,0.04,27,Developer
93,2024-06-20 16:20:34,Camera,aswin,0.2,1,Developer
94,2024-06-20 16:20:40,Code.exe,aswin,0.09,28,Developer
95,2024-06-20 16:21:18,Skype.exe,aswin,0.63,1,Developer
96,2024-06-20 16:22:02,Home,aswin,0.74,4,Developer
97,2024-06-20 16:22:06,This PC,aswin,0.07,1,Developer
98,2024-06-20 16:22:09,Windows-SSD (C:),aswin,0.05,1,Developer
99,2024-06-20 16:22:11,This PC,aswin,0.02,2,Developer
100,2024-06-20 16:22:13,Code.exe,aswin,0.04,29,Developer
101,2024-06-20 16:22:25,This PC,aswin,0.2,3,Developer
102,2024-06-20 16:22:28,Windows-SSD (C:),aswin,0.04,2,Developer
103,2024-06-20 16:22:29,PerfLogs,aswin,0.02,1,Developer
104,2024-06-20 16:22:31,Windows-SSD (C:),aswin,0.04,3,Developer
105,2024-06-20 16:22:33,Destination Folder Access Denied,aswin,0.04,1,Developer
106,2024-06-20 16:22:35,Program Files,aswin,0.04,1,Developer
107,2024-06-20 16:22:38,Windows-SSD (C:),aswin,0.04,4,Developer
108,2024-06-20 16:22:39,Program Files (x86),aswin,0.02,1,Developer
109,2024-06-20 16:22:41,Code.exe,aswin,0.04,30,Developer
110,2024-06-20 16:23:03,File Explorer,aswin,0.36,3,Developer
111,2024-06-20 16:23:04,Ubuntu 24.04 LTS amd64 (D:),aswin,0.02,1,Developer
112,2024-06-20 16:23:05,AvastUI.exe,aswin,0.02,1,Developer
113,2024-06-20 16:23:06,Ubuntu 24.04 LTS amd64 (D:),aswin,0.02,2,Developer
114,2024-06-20 16:23:09,This PC,aswin,0.04,4,Developer
115,2024-06-20 16:23:11,Ubuntu 24.04 LTS amd64 (D:),aswin,0.04,3,Developer
116,2024-06-20 16:23:12,Code.exe,aswin,0.02,31,Developer
117,2024-06-20 16:23:18,File Explorer,aswin,0.09,4,Developer
118,2024-06-20 16:23:19,Home,aswin,0.02,5,Developer
119,2024-06-20 16:23:21,Ubuntu 24.04 LTS amd64 (D:),aswin,0.04,4,Developer
120,2024-06-20 16:23:25,This PC,aswin,0.06,5,Developer
121,2024-06-20 16:23:53,WindowsTerminal.exe,aswin,0.47,3,Developer
122,2024-06-20 16:23:55,Code.exe,aswin,0.04,32,Developer
123,2024-06-20 16:24:56,chrome.exe,aswin,0,1,Student
124,2024-06-20 16:24:58,Code.exe,aswin,0.04,1,Student
125,2024-06-20 16:25:00,chrome.exe,aswin,0.04,2,Student
126,2024-06-20 16:25:10,Code.exe,aswin,0.16,2,Student
127,2024-06-20 16:25:16,Settings,aswin,0.11,1,Student
128,2024-06-20 16:25:21,chrome.exe,aswin,0.07,3,Student
129,2024-06-20 16:25:34,Settings,aswin,0.22,2,Student
130,2024-06-20 16:25:35,Code.exe,aswin,0.02,3,Student
131,2024-06-20 16:25:38,Settings,aswin,0.04,3,Student
132,2024-06-20 16:25:39,Code.exe,aswin,0.02,4,Student
133,2024-06-20 16:25:40,Settings,aswin,0.02,4,Student
134,2024-06-20 16:25:49,Camera,aswin,0.15,1,Student
135,2024-06-20 16:25:55,Code.exe,aswin,0.1,5,Student
136,2024-06-20 16:25:57,StartMenuExperienceHost.exe,aswin,0.04,1,Student
137,2024-06-20 16:26:00,POWERPNT.EXE,aswin,0.04,1,Student
138,2024-06-20 16:26:05,Code.exe,aswin,0.09,6,Student
139,2024-06-20 16:26:41,WINWORD.EXE,aswin,0.59,1,Student
140,2024-06-20 16:26:47,Code.exe,aswin,0.11,7,Student
141,2024-06-20 16:27:09,Discord.exe,aswin,0.37,1,Student
142,2024-06-20 16:27:13,ShellExperienceHost.exe,aswin,0.06,1,Student
143,2024-06-20 16:27:15,WhatsApp,aswin,0.04,1,Student
144,2024-06-20 16:28:42,Code.exe,aswin,1.46,8,Student
145,2024-06-20 16:29:09,chrome.exe,aswin,0.44,4,Student
146,2024-06-20 16:29:10,Code.exe,aswin,0.02,9,Student
147,2024-06-20 16:29:11,WhatsApp,aswin,0.02,2,Student
148,2024-06-20 16:29:16,Code.exe,aswin,0.07,10,Student
149,2024-06-20 16:29:21,StartMenuExperienceHost.exe,aswin,0.09,2,Student
150,2024-06-20 16:29:22,Microsoft Sudoku,aswin,0.02,1,Student
151,2024-06-20 16:29:32,Code.exe,aswin,0.17,11,Student
152,2024-06-20 16:29:38,Solitaire & Casual Games,aswin,0.09,1,Student
153,2024-06-20 16:29:42,Code.exe,aswin,0.07,12,Student
154,2024-06-20 16:29:56,EXCEL.EXE,aswin,0.24,1,Student
155,2024-06-20 16:30:00,Code.exe,aswin,0.05,13,Student
156,2024-06-20 16:30:09,regedit.exe,aswin,0.15,1,Student
157,2024-06-20 16:30:10,Code.exe,aswin,0.02,14,Student
158,2024-06-20 16:30:20,Windows Defender Firewall,aswin,0.17,1,Student
159,2024-06-20 16:30:23,Code.exe,aswin,0.05,15,Student
160,2024-06-20 16:30:28,Wireshark.exe,aswin,0.07,1,Student
161,2024-06-20 16:30:31,Code.exe,aswin,0.05,16,Student
162,2024-06-20 16:30:52,mspaint.exe,aswin,0.35,1,Student
163,2024-06-20 16:30:53,Code.exe,aswin,0.02,17,Student
164,2024-06-20 16:30:59,StartMenuExperienceHost.exe,aswin,0.09,3,Student
165,2024-06-20 16:31:00,Code.exe,aswin,0.02,18,Student
166,2024-06-20 16:31:02,Acrobat.exe,aswin,0.04,1,Student
167,2024-06-20 16:31:08,Code.exe,aswin,0.09,19,Student
168,2024-06-20 16:31:14,StartMenuExperienceHost.exe,aswin,0.1,4,Student
169,2024-06-20 16:31:16,Photos.exe,aswin,0.04,1,Student
170,2024-06-20 16:31:17,Code.exe,aswin,0.02,20,Student
171,2024-06-20 16:32:22,Code.exe,aswin,0,1,Student
172,2024-06-20 16:32:31,WindowsTerminal.exe,aswin,0.14,1,Student
173,2024-06-20 16:32:33,Code.exe,aswin,0.05,2,Student
174,2024-06-20 16:32:43,cmd.exe,aswin,0.16,1,Student
175,2024-06-20 16:32:46,Code.exe,aswin,0.06,3,Student
176,2024-06-20 16:32:52,File Explorer,aswin,0.1,1,Student
177,2024-06-20 16:32:54,Network Connections,aswin,0.02,1,Student
178,2024-06-20 16:32:55,Code.exe,aswin,0.02,4,Student
179,2024-06-20 16:32:56,Network Connections,aswin,0.02,2,Student
180,2024-06-20 16:32:58,Code.exe,aswin,0.04,5,Student
181,2024-06-20 16:34:31,Code.exe,aswin,0,1,Marketing
182,2024-06-20 16:34:40,POWERPNT.EXE,aswin,0.14,1,Marketing
183,2024-06-20 16:34:47,EXCEL.EXE,aswin,0.12,1,Marketing
184,2024-06-20 16:34:57,chrome.exe,aswin,0.17,1,Marketing
185,2024-06-20 16:35:05,WhatsApp,aswin,0.12,1,Marketing
186,2024-06-20 16:35:08,File Explorer,aswin,0.05,1,Marketing
187,2024-06-20 16:35:09,Home,aswin,0.02,1,Marketing
188,2024-06-20 16:35:15,Settings,aswin,0.1,1,Marketing
189,2024-06-20 16:35:56,Home,aswin,0.68,2,Marketing
190,2024-06-20 16:36:02,Windows Defender Firewall,aswin,0.1,1,Marketing
191,2024-06-20 16:36:04,Home,aswin,0.04,3,Marketing
192,2024-06-20 16:36:12,regedit.exe,aswin,0.14,1,Marketing
193,2024-06-20 16:36:14,Home,aswin,0.02,4,Marketing
194,2024-06-20 16:36:18,WindowsTerminal.exe,aswin,0.07,1,Marketing
195,2024-06-20 16:36:20,Home,aswin,0.04,5,Marketing
196,2024-06-20 16:36:23,WindowsTerminal.exe,aswin,0.05,2,Marketing
197,2024-06-20 16:36:25,Home,aswin,0.02,6,Marketing
198,2024-06-20 16:36:27,Code.exe,aswin,0.04,2,Marketing
199,2024-06-20 16:36:30,Home,aswin,0.06,7,Marketing
200,2024-06-20 16:36:32,chrome.exe,aswin,0.04,2,Marketing
201,2024-06-20 16:36:37,WINWORD.EXE,aswin,0.07,1,Marketing
202,2024-06-20 16:36:40,chrome.exe,aswin,0.05,3,Marketing
203,2024-06-20 16:37:54,Discord.exe,aswin,1.24,1,Marketing
204,2024-06-20 16:38:21,ShellExperienceHost.exe,aswin,0.45,1,Marketing
